Date,Price,Open,High,Low,Change %,Daily Return (%),Volatility (7D),SMA (7D),SMA (30D),Forward Premia of US$ 1-month (%),Forward Premia of US$ 3-month (%),Forward Premia of US$ 6-month (%),Reverse Repo Rate (%),Marginal Standing Facility (MSF) Rate (%),Bank Rate (%),Base Rate (%),91-Day Treasury Bill (Primary) Yield (%),182-Day Treasury Bill (Primary) Yield (%),364-Day Treasury Bill (Primary) Yield (%),10-Year G-Sec Yield (FBIL) (%),Cash Reserve Ratio (%),Statutory Liquidity Ratio (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)"
29-04-2013,7.762,7.762,7.762,7.762,0.0025,0.245382927,0.018013223,7.755142857,7.875733333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
30-04-2013,7.731,7.731,7.731,7.731,-0.0040,-0.399381603,0.015475018,7.747857143,7.870633333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
01-05-2013,7.731,7.731,7.731,7.731,0.0000,0,0.016459185,7.744714286,7.8649,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
02-05-2013,7.723,7.723,7.723,7.723,-0.0010,-0.103479498,0.018096303,7.743142857,7.858266667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
03-05-2013,7.735,7.735,7.735,7.735,0.0016,0.155380034,0.018310809,7.742571429,7.851666667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
06-05-2013,7.749,7.749,7.749,7.749,0.0018,0.180995475,0.01319632,7.739142857,7.8446,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
07-05-2013,7.743,7.743,7.743,7.743,-0.0008,-0.077429346,0.01319632,7.739142857,7.837766667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
08-05-2013,7.694,7.694,7.694,7.694,-0.0063,-0.632829653,0.017793792,7.729428571,7.8279,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
09-05-2013,7.605,7.605,7.605,7.605,-0.0116,-1.156745516,0.050185845,7.711428571,7.815066667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
10-05-2013,7.586,7.586,7.586,7.586,-0.0025,-0.249835634,0.067647898,7.690714286,7.8029,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
13-05-2013,7.585,7.585,7.585,7.585,-0.0001,-0.013182178,0.076234288,7.671,7.7904,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
14-05-2013,7.472,7.472,7.472,7.472,-0.0149,-1.489782465,0.100410586,7.633428571,7.773033333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
15-05-2013,7.457,7.457,7.457,7.457,-0.0020,-0.200749465,0.104947152,7.591714286,7.756133333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
16-05-2013,7.391,7.391,7.391,7.391,-0.0089,-0.885074427,0.104707302,7.541428571,7.7371,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
17-05-2013,7.404,7.404,7.404,7.404,0.0018,0.175889595,0.090715673,7.5,7.719533333,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
20-05-2013,7.338,7.338,7.338,7.338,-0.0089,-0.891410049,0.095228547,7.461857143,7.700466667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
21-05-2013,7.351,7.351,7.351,7.351,0.0018,0.177159989,0.085048446,7.428285714,7.682766667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
22-05-2013,7.365,7.365,7.365,7.365,0.0019,0.190450279,0.051528078,7.396857143,7.664966667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
23-05-2013,7.382,7.382,7.382,7.382,0.0023,0.230821453,0.039471509,7.384,7.6477,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
24-05-2013,7.341,7.341,7.341,7.341,-0.0056,-0.555405039,0.025644084,7.367428571,7.6301,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
25-05-2013,7.341,7.341,7.341,7.341,0.0000,0,0.024938018,7.360285714,7.613766667,4.62,4.31,4.33,5.75,6.25,6.25,8.95,6.0668,6.1812,6.2192,6.9071,4,20,6,400296.8
